"","scientificName","year","lat_bin","lon_bin","metric","p.nsites","p.nsurveys","p.npresence","ci.repN","p.est","ci10.low95","ci10.high95","plow","phigh","p.ci","i.est","ilow","ihigh","i.npresence","i.ci","log.gdd","mobility","wing.max","wing.mean","canopy.open","canopy.mixed","canopy.closed","local.abund","host.breadth.index","voltinism","ows","egg.clusters","detect","confus"
"27","Colias philodice",2016,41.5,-93.5,10,18,116,99,1000,144,111,162,130,170,40,148.5,126.3,169.8,54,43.5,6.55497448299761,4,70,56,1,0,0,"Common",2,3,"larva",0,3,3
"28","Cupido comyntas",2014,38.5,-77.5,10,10,54,34,1000,154,137,169,141,173,32,166,165,166,13,1,6.59447968012898,1,29,23.5,1,1,0,"Common",2,3,"larva",0,2,1
"29","Cupido comyntas",2017,38.5,-77.5,10,4,37,22,1000,109,84,130,97,139,42,105,93.7,108,44,14.3,6.76375797556452,1,29,23.5,1,1,0,"Common",2,3,"larva",0,2,1
"30","Cupido comyntas",2016,38.5,-77.5,10,14,51,31,1000,237,191,307,124,248,124,114.5,104,141,26,37,6.61385630236662,1,29,23.5,1,1,0,"Common",2,3,"larva",0,2,1
"31","Danaus plexippus",2017,40.5,-82.5,10,3,54,23,1000,192,177,208,178,209,31,215,215,227.8,12,12.8,6.48998541238501,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"32","Danaus plexippus",2015,41.5,-88.5,10,28,151,102,1000,186,169,203,164,199,35,208.4,202,213.2,10,11.2,6.38135544266071,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"33","Danaus plexippus",2017,39.5,-82.5,10,4,52,23,1000,228,218,242,213,239,26,205.2,201,211,19,10,6.62101301144201,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"34","Danaus plexippus",2016,39.5,-84.5,10,10,235,68,1000,219,212,226,213,227,14,193.6,177,230.6,65,53.6,6.58699491670921,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"35","Danaus plexippus",2017,41.5,-87.5,10,30,188,123,1000,192,166,217,167,216,49,175.6,163.6,189,122,25.4,6.43505356469628,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"36","Danaus plexippus",2018,40.5,-89.5,10,2,48,35,1000,205,161,261,97,222,125,189.2,134,203,13,69,6.68839916314568,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"37","Danaus plexippus",2018,41.5,-93.5,10,15,85,74,1000,164,145,187,137,178,41,154,146,184,28,38,6.60649979853921,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"38","Danaus plexippus",2017,41.5,-81.5,10,12,279,124,1000,192,188,197,187,196,9,196,179,198,126,19,6.3618135973608,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"39","Danaus plexippus",2017,39.5,-84.5,10,9,214,83,1000,204,194,215,192,213,21,166.4,143,183.8,94,40.8,6.65651661011713,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"40","Danaus plexippus",2017,41.5,-83.5,10,5,117,46,1000,188,181,196,181,195,14,190,165,195,41,30,6.45373962696831,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"41","Danaus plexippus",2016,41.5,-93.5,10,18,116,44,1000,237,207,293,181,270,89,183.8,152,219,17,67,6.55497448299761,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"42","Danaus plexippus",2018,41.5,-85.5,10,8,45,26,1000,188,178,197,180,199,19,195,168,200,13,32,6.39612904598075,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"43","Danaus plexippus",2015,38.5,-77.5,10,11,76,29,1000,207,188,225,189,225,36,208.2,170,223.8,13,53.8,6.67935825154566,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"44","Danaus plexippus",2018,41.5,-90.5,10,6,100,90,1000,182,176,187,178,188,10,174,174,233.2,15,59.2,6.5674526760352,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"45","Danaus plexippus",2014,41.5,-81.5,10,20,427,167,1000,196,191,201,191,201,10,193,156,207,20,51,6.24465253841195,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"46","Danaus plexippus",2015,41.5,-93.5,10,14,88,54,1000,187,175,200,175,199,24,179,158,199,31,41,6.4428287782553,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"47","Danaus plexippus",2018,41.5,-87.5,10,31,186,157,1000,157,107,187,91,183,92,174,164,176,347,12,6.43444685330737,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"48","Danaus plexippus",2016,38.5,-77.5,10,14,51,17,1000,215,188,246,183,240,57,197.8,140,234.4,54,94.4,6.61385630236662,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"49","Danaus plexippus",2017,41.5,-93.5,10,16,103,62,1000,156,121,186,129,196,67,190,176,192.1,14,16.1,6.55328183852675,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"50","Danaus plexippus",2018,41.5,-88.5,10,41,278,177,1000,125,32,192,77,188,111,180.1,144,185.1,82,41.1,6.50441871127371,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"51","Danaus plexippus",2017,38.5,-77.5,10,4,37,15,1000,161,110,200,134,211,77,193.3,175.3,204,115,28.7,6.76375797556452,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"52","Danaus plexippus",2015,41.5,-87.5,10,25,159,98,1000,200,175,223,188,251,63,192,165,198.8,34,33.8,6.31570496483174,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"53","Danaus plexippus",2016,41.5,-81.5,10,20,382,98,1000,214,205,223,205,222,17,203.9,164,213.8,42,49.8,6.27312912683665,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"54","Danaus plexippus",2016,39.5,-82.5,10,6,98,34,1000,207,198,216,199,216,17,256.4,251,272.6,11,21.6,6.57259479869227,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"55","Danaus plexippus",2015,41.5,-81.5,10,20,416,168,1000,212,206,219,204,218,14,203,165,209.8,64,44.8,6.26993267417513,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"56","Danaus plexippus",2018,38.5,-90.5,10,8,52,28,1000,138,36,201,93,212,119,206.8,172,218,127,46,6.86027327344997,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"57","Danaus plexippus",2016,41.5,-87.5,10,30,176,57,1000,211,154,265,170,267,97,219.8,201,226.8,39,25.8,6.39878623403995,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"58","Danaus plexippus",2014,41.5,-87.5,10,25,168,109,1000,182,176,189,176,186,10,182.1,178,186.1,13,8.09999999999999,6.32719885313251,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"59","Danaus plexippus",2017,41.5,-88.5,10,24,141,81,1000,182,166,198,167,201,34,202.3,177,210,12,33,6.44589538206879,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"60","Danaus plexippus",2015,39.5,-84.5,10,11,289,105,1000,213,208,218,207,218,11,216.5,206,224.9,11,18.9,6.57548387784319,5,114,95,1,1,0,"Common",2,3,"migrant",0,3,1
"61","Epargyreus clarus",2017,41.5,-83.5,10,5,117,47,1000,145,138,152,139,152,13,153.2,139.4,170.8,35,31.4,6.45373962696831,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"62","Epargyreus clarus",2016,41.5,-93.5,10,18,116,30,1000,213,189,240,186,238,52,204.8,194,216.5,10,22.5,6.55497448299761,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"63","Epargyreus clarus",2016,41.5,-81.5,10,20,382,167,1000,169,165,172,167,174,7,158.2,139.4,177,33,37.6,6.27312912683665,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"64","Epargyreus clarus",2018,41.5,-88.5,10,41,278,59,1000,162,130,190,128,186,58,163,146,175,31,29,6.50441871127371,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"65","Epargyreus clarus",2016,38.5,-77.5,10,14,51,22,1000,162,117,193,141,216,75,130.8,117,206,13,89,6.61385630236662,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"66","Epargyreus clarus",2017,41.5,-81.5,10,12,279,105,1000,170,165,174,167,175,8,175.1,149.3,180,42,30.7,6.3618135973608,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"67","Epargyreus clarus",2015,41.5,-87.5,10,25,159,50,1000,134,110,155,114,158,44,154.9,150,173.8,18,23.8,6.31570496483174,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"68","Epargyreus clarus",2016,39.5,-84.5,10,10,235,147,1000,184,174,192,176,194,18,176.8,163.8,192,59,28.2,6.58699491670921,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"69","Epargyreus clarus",2018,38.5,-90.5,10,8,52,30,1000,172,156,190,152,185,33,183.8,154,212,49,58,6.86027327344997,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"70","Epargyreus clarus",2017,41.5,-87.5,10,30,188,48,1000,116,76,150,75,158,83,157,134,157,38,23,6.43505356469628,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"71","Epargyreus clarus",2017,39.5,-84.5,10,9,214,124,1000,146,140,153,140,152,12,146,124,151,59,27,6.65651661011713,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"72","Epargyreus clarus",2014,41.5,-81.5,10,20,427,156,1000,173,168,177,169,178,9,191,187,193,16,6,6.24465253841195,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"73","Epargyreus clarus",2017,38.5,-77.5,10,4,37,17,1000,132,110,150,117,156,39,113.4,102,132,48,30,6.76375797556452,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"74","Epargyreus clarus",2016,41.5,-87.5,10,30,176,50,1000,152,140,167,134,160,26,202.6,191,213,23,22,6.39878623403995,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"75","Epargyreus clarus",2015,41.5,-81.5,10,20,416,153,1000,171,165,175,167,177,10,152,145,176.2,13,31.2,6.26993267417513,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"76","Epargyreus clarus",2018,41.5,-87.5,10,31,186,49,1000,156,147,172,136,161,25,174.7,162.1,185,58,22.9,6.43444685330737,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"77","Epargyreus clarus",2018,41.5,-93.5,10,15,85,35,1000,125,52,173,88,199,111,147,146,148,11,2,6.60649979853921,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"78","Epargyreus clarus",2014,38.5,-77.5,10,10,54,28,1000,162,145,177,149,181,32,166,165,166,13,1,6.59447968012898,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"79","Epargyreus clarus",2014,41.5,-87.5,10,25,168,42,1000,152,133,180,121,166,45,196,159,207,11,48,6.32719885313251,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"80","Epargyreus clarus",2016,41.5,-88.5,10,24,139,43,1000,184,162,213,157,213,56,181,160,187,11,27,6.4447650430968,2,61,51,1,1,0,"Common",2,3,"pupa",0,3,1
"81","Erynnis baptisiae",2017,41.5,-81.5,10,12,279,52,1000,114,98,131,99,127,28,179.6,123,192,17,69,6.3618135973608,1,45,39,1,1,0,"Common",2,2,"larva",0,1,4
"82","Erynnis baptisiae",2016,41.5,-87.5,10,30,176,23,1000,190,169,207,186,233,47,193.2,186,219,15,33,6.39878623403995,1,45,39,1,1,0,"Common",2,2,"larva",0,1,4
"83","Erynnis baptisiae",2017,39.5,-84.5,10,9,214,33,1000,98,67,116,84,131,47,169.8,167,176.2,23,9.19999999999999,6.65651661011713,1,45,39,1,1,0,"Common",2,2,"larva",0,1,4
"84","Erynnis baptisiae",2018,41.5,-87.5,10,31,186,15,1000,196,156,225,179,240,61,135.9,128,223,12,95,6.43444685330737,1,45,39,1,1,0,"Common",2,2,"larva",0,1,4
"85","Erynnis baptisiae",2017,41.5,-87.5,10,30,188,19,1000,190,121,231,180,258,78,196,183,199,24,16,6.43505356469628,1,45,39,1,1,0,"Common",2,2,"larva",0,1,4
"86","Erynnis baptisiae",2016,39.5,-84.5,10,10,235,40,1000,112,55,142,91,173,82,211,183,211,11,28,6.58699491670921,1,45,39,1,1,0,"Common",2,2,"larva",0,1,4
"87","Euptoieta claudia",2017,38.5,-77.5,10,4,37,10,1000,168,90,245,103,237,134,137.1,104,184,21,80,6.76375797556452,4,80,58,1,0,0,"Uncommon",3,3,"migrant",0,3,1
"88","Euptoieta claudia",2016,38.5,-77.5,10,14,51,17,1000,176,96,235,139,274,135,230,192,230,33,38,6.61385630236662,4,80,58,1,0,0,"Uncommon",3,3,"migrant",0,3,1
"89","Eurytides marcellus",2016,38.5,-77.5,10,14,51,16,1000,115,-3,176,84,224,140,101.9,76,115,12,39,6.61385630236662,4,102,78,1,1,1,"Common",1,3,"pupa",0,3,1
"90","Eurytides marcellus",2017,38.5,-77.5,10,4,37,10,1000,106,56,141,91,183,92,101.5,93,106.5,26,13.5,6.76375797556452,4,102,78,1,1,1,"Common",1,3,"pupa",0,3,1
"91","Junonia coenia",2016,38.5,-77.5,10,14,51,23,1000,206,170,240,177,245,68,236.2,141,248.4,33,107.4,6.61385630236662,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"92","Junonia coenia",2016,41.5,-87.5,10,30,176,32,1000,240,219,296,189,249,60,199.8,172,219,57,47,6.39878623403995,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"93","Junonia coenia",2017,38.5,-77.5,10,4,37,13,1000,199,178,219,187,222,35,199.4,128,215.6,40,87.6,6.76375797556452,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"94","Junonia coenia",2018,41.5,-87.5,10,31,186,20,1000,205,164,242,173,239,66,200.1,181,209.3,47,28.3,6.43444685330737,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"95","Junonia coenia",2017,39.5,-84.5,10,9,214,48,1000,193,173,210,181,217,36,189,168,200.6,49,32.6,6.65651661011713,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"96","Junonia coenia",2016,41.5,-93.5,10,18,116,40,1000,172,154,189,154,189,35,189.5,159,210,22,51,6.55497448299761,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"97","Junonia coenia",2017,38.5,-90.5,10,6,31,19,1000,164,137,203,124,192,68,192.2,145,212,25,67,6.84165371292606,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"98","Junonia coenia",2015,41.5,-93.5,10,14,88,23,1000,200,185,214,189,217,28,211.9,211,218.3,10,7.30000000000001,6.4428287782553,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"99","Junonia coenia",2016,39.5,-84.5,10,10,235,26,1000,250,238,265,235,259,24,228.1,213,247,38,34,6.58699491670921,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"100","Junonia coenia",2017,41.5,-93.5,10,16,103,46,1000,165,148,183,143,179,36,161.4,155,188,18,33,6.55328183852675,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"101","Junonia coenia",2017,41.5,-87.5,10,30,188,37,1000,188,159,210,179,244,65,180.4,171,189,59,18,6.43505356469628,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"102","Junonia coenia",2018,38.5,-90.5,10,8,52,17,1000,232,213,257,196,242,46,213.9,188,229.4,56,41.4,6.86027327344997,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"103","Junonia coenia",2017,41.5,-81.5,10,12,279,11,1000,227,198,259,212,244,32,216.8,175,246,24,71,6.3618135973608,5,69,52.5,1,1,0,"Common",3,3,"migrant",0,2,1
"104","Limenitis archippus",2018,41.5,-88.5,10,41,278,69,1000,195,176,213,178,216,38,204.9,198,218,13,20,6.50441871127371,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"105","Limenitis archippus",2015,41.5,-81.5,10,20,416,94,1000,185,173,199,170,195,25,164,141,175.1,24,34.1,6.26993267417513,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"106","Limenitis archippus",2014,41.5,-81.5,10,20,427,65,1000,200,195,206,193,205,12,205,153,205.4,15,52.4,6.24465253841195,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"107","Limenitis archippus",2016,41.5,-81.5,10,20,382,66,1000,194,183,212,175,202,27,207.5,155,216,30,61,6.27312912683665,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"108","Limenitis archippus",2017,41.5,-83.5,10,5,117,29,1000,186,175,200,172,195,23,152.1,142.5,168.1,32,25.6,6.45373962696831,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"109","Limenitis archippus",2017,41.5,-87.5,10,30,188,35,1000,197,185,216,178,207,29,204.3,189,207,10,18,6.43505356469628,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"110","Limenitis archippus",2017,41.5,-81.5,10,12,279,44,1000,194,187,212,173,197,24,192,150,196.2,48,46.2,6.3618135973608,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"111","Limenitis archippus",2018,41.5,-87.5,10,31,186,45,1000,194,176,216,164,204,40,194,174,209,37,35,6.43444685330737,2,76,67,1,1,1,"Common",2,3,"larva",0,3,2
"112","Limenitis arthemis astyanax",2017,39.5,-84.5,10,9,214,57,1000,156,129,176,142,185,43,190,186,194,11,8,6.65651661011713,4,92,79,0,1,1,"Uncommon",3,3,"larva",0,3,1
"113","Limenitis arthemis astyanax",2016,41.5,-87.5,10,30,176,26,1000,155,129,189,126,194,68,199,152,219,11,67,6.39878623403995,4,92,79,0,1,1,"Uncommon",3,3,"larva",0,3,1
"114","Limenitis arthemis astyanax",2016,39.5,-84.5,10,10,235,56,1000,201,187,218,181,213,32,227,221,228.2,12,7.19999999999999,6.58699491670921,4,92,79,0,1,1,"Uncommon",3,3,"larva",0,3,1
"115","Limenitis arthemis astyanax",2017,41.5,-87.5,10,30,188,28,1000,184,157,209,156,208,52,167.5,161,188,16,27,6.43505356469628,4,92,79,0,1,1,"Uncommon",3,3,"larva",0,3,1
"116","Limenitis arthemis astyanax",2018,41.5,-87.5,10,31,186,36,1000,190,158,223,147,213,66,195.3,166,207,20,41,6.43444685330737,4,92,79,0,1,1,"Uncommon",3,3,"larva",0,3,1
"117","Limenitis arthemis astyanax",2016,41.5,-88.5,10,24,139,21,1000,163,140,183,147,195,48,157.9,157,193.1,10,36.1,6.4447650430968,4,92,79,0,1,1,"Uncommon",3,3,"larva",0,3,1
"118","Megisto cymela",2015,41.5,-81.5,10,20,416,90,1000,148,147,149,147,149,2,141,141,154,11,13,6.26993267417513,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"119","Megisto cymela",2017,39.5,-84.5,10,9,214,48,1000,147,136,155,140,159,19,146,141,146,28,5,6.65651661011713,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"120","Megisto cymela",2017,41.5,-87.5,10,30,188,47,1000,158,147,168,146,166,20,156.6,153,157,10,4,6.43505356469628,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"121","Megisto cymela",2017,41.5,-81.5,10,12,279,54,1000,148,146,151,145,150,5,144.4,139,147.6,27,8.59999999999999,6.3618135973608,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"122","Megisto cymela",2016,41.5,-81.5,10,20,382,73,1000,148,142,150,145,153,8,149.6,148,153,13,5,6.27312912683665,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"123","Megisto cymela",2017,41.5,-83.5,10,5,117,12,1000,152,134,169,143,160,17,147.3,147,150.3,12,3.30000000000001,6.45373962696831,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"124","Megisto cymela",2016,39.5,-84.5,10,10,235,60,1000,156,150,160,153,163,10,157,157,163.2,13,6.19999999999999,6.58699491670921,1,48,40.5,0,1,1,"Common",1,3,"larva",0,3,1
"125","Nastra lherminier",2017,39.5,-84.5,10,9,214,13,1000,136,111,153,126,155,29,157.4,148,168,18,20,6.65651661011713,1,28,25.5,1,0,0,"Uncommon",1,3,"larva",0,1,4
"126","Nymphalis antiopa",2015,41.5,-87.5,10,25,159,22,1000,134,92,149,121,166,45,99.3,79,167.5,12,88.5,6.31570496483174,5,102,89,0,1,1,"Uncommon",3,3,"adult",1,2,1
"127","Papilio glaucus",2016,39.5,-84.5,10,10,235,104,1000,127,111,140,116,146,30,181.5,115,191,46,76,6.58699491670921,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"128","Papilio glaucus",2015,38.5,-77.5,10,11,76,36,1000,170,136,204,134,199,65,177.8,98,194,27,96,6.67935825154566,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"129","Papilio glaucus",2016,38.5,-77.5,10,14,51,24,1000,164,102,227,110,218,108,141,113.4,141,99,27.6,6.61385630236662,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"130","Papilio glaucus",2017,41.5,-93.5,10,16,103,31,1000,161,130,205,109,196,87,154.8,114,182.6,19,68.6,6.55328183852675,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"131","Papilio glaucus",2014,38.5,-77.5,10,10,54,23,1000,157,132,183,130,182,52,122,117,130,15,13,6.59447968012898,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"132","Papilio glaucus",2017,38.5,-90.5,10,6,31,13,1000,170,140,201,137,195,58,190,128,205,21,77,6.84165371292606,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"133","Papilio glaucus",2016,41.5,-87.5,10,30,176,48,1000,165,142,187,145,199,54,187.8,152,205,25,53,6.39878623403995,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"134","Papilio glaucus",2016,38.5,-90.5,10,5,31,14,1000,209,189,234,180,224,44,196.4,194,210.6,13,16.6,6.84021354658337,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
"135","Papilio glaucus",2017,38.5,-77.5,10,4,37,14,1000,106,70,132,92,145,53,100,93.6,100,94,6.40000000000001,6.76375797556452,2,165,127,1,1,1,"Common",3,3,"pupa",0,4,1
