"estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName"
157.2,149.4,168.6,2018,41.5,-93.5,"Pieris rapae"
173.4,134.2,235.2,2018,38.5,-90.5,"Pieris rapae"
151,97,193.3,2017,41.5,-88.5,"Pieris rapae"
118.3,106,183.4,2018,41.5,-88.5,"Pieris rapae"
141.5,101.5,171.5,2016,41.5,-87.5,"Pieris rapae"
167.2,105,189,2017,41.5,-87.5,"Pieris rapae"
184.7,167,198.8,2018,41.5,-87.5,"Pieris rapae"
115,96,170,2016,39.5,-84.5,"Pieris rapae"
102.1,96.2,117.2,2017,39.5,-84.5,"Pieris rapae"
133.5,103,159,2017,41.5,-83.5,"Pieris rapae"
127.2,126,182.2,2014,41.5,-82.5,"Pieris rapae"
130.8,129,241.8,2015,41.5,-82.5,"Pieris rapae"
126.8,123.4,181,2016,41.5,-82.5,"Pieris rapae"
133.7,123,182,2017,41.5,-82.5,"Pieris rapae"
164,162,172.4,2015,41.5,-81.5,"Pieris rapae"
111.6,108,159.4,2016,41.5,-81.5,"Pieris rapae"
118.5,53.5,163,2017,41.5,-81.5,"Pieris rapae"
113.8,91,170.8,2014,38.5,-77.5,"Pieris rapae"
219,141,240,2016,38.5,-77.5,"Pieris rapae"
101.8,82.4,127.2,2017,38.5,-77.5,"Pieris rapae"
204.8,194,226.2,2016,41.5,-93.5,"Epargyreus clarus"
147,146,208,2018,41.5,-93.5,"Epargyreus clarus"
183.8,161.2,231.2,2018,38.5,-90.5,"Epargyreus clarus"
181,160,227,2016,41.5,-88.5,"Epargyreus clarus"
163,152,189,2018,41.5,-88.5,"Epargyreus clarus"
196,159,226,2014,41.5,-87.5,"Epargyreus clarus"
154.9,150,199.2,2015,41.5,-87.5,"Epargyreus clarus"
202.6,192.4,217.4,2016,41.5,-87.5,"Epargyreus clarus"
157,154,191.8,2017,41.5,-87.5,"Epargyreus clarus"
174.7,163,187.8,2018,41.5,-87.5,"Epargyreus clarus"
176.8,164,208.8,2016,39.5,-84.5,"Epargyreus clarus"
146,133,153.8,2017,39.5,-84.5,"Epargyreus clarus"
153.2,143,177.4,2017,41.5,-83.5,"Epargyreus clarus"
191,187,203,2014,41.5,-81.5,"Epargyreus clarus"
152,145,181.2,2015,41.5,-81.5,"Epargyreus clarus"
158.2,141,181,2016,41.5,-81.5,"Epargyreus clarus"
175.1,162.1,183.2,2017,41.5,-81.5,"Epargyreus clarus"
166,165,174.4,2014,38.5,-77.5,"Epargyreus clarus"
130.8,117,208.2,2016,38.5,-77.5,"Epargyreus clarus"
113.4,103.2,140,2017,38.5,-77.5,"Epargyreus clarus"
127.5,117.8,142.5,2015,41.5,-93.5,"Vanessa atalanta"
126.1,116,145.4,2016,41.5,-93.5,"Vanessa atalanta"
101.4,100,111,2017,41.5,-93.5,"Vanessa atalanta"
146.9,146,196.6,2018,41.5,-93.5,"Vanessa atalanta"
99,97,105,2017,41.5,-88.5,"Vanessa atalanta"
137.7,127.3,172,2018,41.5,-88.5,"Vanessa atalanta"
138.4,117.1,174,2015,41.5,-87.5,"Vanessa atalanta"
123,113.3,141,2016,41.5,-87.5,"Vanessa atalanta"
105,105,107,2017,41.5,-87.5,"Vanessa atalanta"
163.1,121,171,2018,41.5,-87.5,"Vanessa atalanta"
172,164,182,2015,39.5,-84.5,"Vanessa atalanta"
87,86,111,2016,39.5,-84.5,"Vanessa atalanta"
97,92,101,2017,39.5,-84.5,"Vanessa atalanta"
99,98,146,2017,40.5,-83.5,"Vanessa atalanta"
106,98,165,2017,41.5,-83.5,"Vanessa atalanta"
136.5,132,168.3,2015,41.5,-81.5,"Vanessa atalanta"
116.4,111,128.6,2016,41.5,-81.5,"Vanessa atalanta"
103.5,98,132.6,2017,41.5,-81.5,"Vanessa atalanta"
171.8,134,186.2,2015,38.5,-77.5,"Vanessa atalanta"
211.9,211,225.3,2015,41.5,-93.5,"Junonia coenia"
189.5,159.9,219.3,2016,41.5,-93.5,"Junonia coenia"
161.4,155,190.1,2017,41.5,-93.5,"Junonia coenia"
192.2,152.2,213,2017,38.5,-90.5,"Junonia coenia"
213.9,192.5,230,2018,38.5,-90.5,"Junonia coenia"
199.8,181,221.2,2016,41.5,-87.5,"Junonia coenia"
180.4,171,191.4,2017,41.5,-87.5,"Junonia coenia"
200.1,181.6,211.8,2018,41.5,-87.5,"Junonia coenia"
228.1,213,249.8,2016,39.5,-84.5,"Junonia coenia"
189,172.9,215.3,2017,39.5,-84.5,"Junonia coenia"
216.8,184.3,261.2,2017,41.5,-81.5,"Junonia coenia"
236.2,182,252,2016,38.5,-77.5,"Junonia coenia"
199.4,163,222,2017,38.5,-77.5,"Junonia coenia"
161,148,179,2015,41.5,-93.5,"Colias eurytheme"
146,132,159,2016,41.5,-93.5,"Colias eurytheme"
184.4,166.8,206.8,2017,41.5,-93.5,"Colias eurytheme"
159.5,147,192,2018,41.5,-93.5,"Colias eurytheme"
170.6,149,192,2016,39.5,-84.5,"Colias eurytheme"
133,116,155,2017,39.5,-84.5,"Colias eurytheme"
154.5,130,237,2017,41.5,-83.5,"Colias eurytheme"
239,201,265,2016,41.5,-81.5,"Colias eurytheme"
250,244.4,258.4,2017,41.5,-81.5,"Colias eurytheme"
197.1,108,248,2016,38.5,-77.5,"Colias eurytheme"
103,84,111,2017,38.5,-77.5,"Colias eurytheme"
160.1,141,212.4,2018,38.5,-90.5,"Papilio polyxenes"
185.6,185,189.6,2018,41.5,-88.5,"Papilio polyxenes"
220.2,191,236,2016,41.5,-87.5,"Papilio polyxenes"
179.4,126,193,2017,41.5,-87.5,"Papilio polyxenes"
167.2,134,185.6,2018,41.5,-87.5,"Papilio polyxenes"
170.7,115,199,2016,39.5,-84.5,"Papilio polyxenes"
113.9,107,131.6,2017,39.5,-84.5,"Papilio polyxenes"
200.8,200,231.4,2015,41.5,-81.5,"Papilio polyxenes"
140.8,133,203.4,2016,41.5,-81.5,"Papilio polyxenes"
152.1,120,194.9,2017,41.5,-81.5,"Papilio polyxenes"
77,77,193,2018,41.5,-88.5,"Polygonia comma"
80.5,48,98,2017,41.5,-87.5,"Polygonia comma"
110.9,69.8,184.5,2018,41.5,-87.5,"Polygonia comma"
78,68,87,2016,39.5,-84.5,"Polygonia comma"
69,48,93.5,2017,39.5,-84.5,"Polygonia comma"
99,98,115,2017,41.5,-83.5,"Polygonia comma"
113.3,100,164.6,2015,41.5,-81.5,"Polygonia comma"
87,87,108,2016,41.5,-81.5,"Polygonia comma"
103.5,99,200.1,2017,41.5,-81.5,"Polygonia comma"
167.4,163,175,2018,41.5,-87.5,"Speyeria cybele"
169.4,158,176.3,2016,39.5,-84.5,"Speyeria cybele"
161.2,154,168,2017,39.5,-84.5,"Speyeria cybele"
168.5,166,177,2017,41.5,-83.5,"Speyeria cybele"
182.6,166,187,2015,41.5,-81.5,"Speyeria cybele"
177,176,185,2016,41.5,-81.5,"Speyeria cybele"
177.9,167,186.6,2017,41.5,-81.5,"Speyeria cybele"
157.4,157,165.5,2015,38.5,-77.5,"Speyeria cybele"
158,157,166,2016,38.5,-77.5,"Speyeria cybele"
204.9,198,219,2018,41.5,-88.5,"Limenitis archippus"
204.3,189,212.6,2017,41.5,-87.5,"Limenitis archippus"
194,174,210.2,2018,41.5,-87.5,"Limenitis archippus"
152.1,147,175,2017,41.5,-83.5,"Limenitis archippus"
