"","estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName","obs"
"40",179.6,156,188,2018,41.5,-87.5,"Phyciodes tharos",59
"41",180,134.5,192,2016,39.5,-84.5,"Phyciodes tharos",76
"42",131.6,113,140.7,2017,39.5,-84.5,"Phyciodes tharos",90
"43",132.4,127,147.4,2017,40.5,-83.5,"Phyciodes tharos",10
"44",143.4,116.5,154.6,2017,41.5,-83.5,"Phyciodes tharos",32
"45",125.8,118,134.7,2017,39.5,-82.5,"Phyciodes tharos",18
"46",181,140,182.8,2016,41.5,-82.5,"Phyciodes tharos",22
"47",169,145,194.5,2014,41.5,-81.5,"Phyciodes tharos",16
"48",175.8,132,181.6,2015,41.5,-81.5,"Phyciodes tharos",25
"49",140.6,115,141,2016,41.5,-81.5,"Phyciodes tharos",39
"50",150,117.9,189,2017,41.5,-81.5,"Phyciodes tharos",44
"51",190,190,212.8,2014,38.5,-77.5,"Phyciodes tharos",10
"52",132,131,132.2,2015,38.5,-77.5,"Phyciodes tharos",12
"53",130.8,104,141,2016,38.5,-77.5,"Phyciodes tharos",25
"54",116.1,100.8,118.2,2017,38.5,-77.5,"Phyciodes tharos",32
"55",154.8,114,182.6,2017,41.5,-93.5,"Papilio glaucus",19
"56",146.2,127,148.8,2018,41.5,-93.5,"Papilio glaucus",13
"57",196.4,194,210.6,2016,38.5,-90.5,"Papilio glaucus",13
"58",190,128,205,2017,38.5,-90.5,"Papilio glaucus",21
"59",117,117,120,2018,38.5,-90.5,"Papilio glaucus",32
"60",192.5,134,200,2018,41.5,-88.5,"Papilio glaucus",17
"61",189,185,196,2014,41.5,-87.5,"Papilio glaucus",11
"62",187.8,152,205,2016,41.5,-87.5,"Papilio glaucus",25
"63",164.7,156.1,173.2,2017,41.5,-87.5,"Papilio glaucus",32
"64",170.4,154,175.4,2018,41.5,-87.5,"Papilio glaucus",45
"65",181.5,115,191,2016,39.5,-84.5,"Papilio glaucus",46
"66",127,104,148.2,2017,39.5,-84.5,"Papilio glaucus",37
"67",148,143,152.5,2017,41.5,-83.5,"Papilio glaucus",26
"68",129,115,167,2016,39.5,-82.5,"Papilio glaucus",11
"69",106.6,95,116.6,2017,39.5,-82.5,"Papilio glaucus",20
"70",193.8,156,206.1,2014,41.5,-81.5,"Papilio glaucus",30
"71",139.8,125,187.3,2015,41.5,-81.5,"Papilio glaucus",38
"72",141,121,141,2016,41.5,-81.5,"Papilio glaucus",48
"73",195.2,150,197,2017,41.5,-81.5,"Papilio glaucus",70
"74",122,117,130,2014,38.5,-77.5,"Papilio glaucus",15
"75",177.8,98,194,2015,38.5,-77.5,"Papilio glaucus",27
"76",141,113.4,141,2016,38.5,-77.5,"Papilio glaucus",99
"77",100,93.6,100,2017,38.5,-77.5,"Papilio glaucus",94
"78",159.2,155,167,2015,41.5,-93.5,"Pieris rapae",23
"79",151.4,127,158.4,2016,41.5,-93.5,"Pieris rapae",30
"80",110.2,102,122,2017,41.5,-93.5,"Pieris rapae",19
"81",157.2,148,163,2018,41.5,-93.5,"Pieris rapae",23
"82",173.4,119,214,2018,38.5,-90.5,"Pieris rapae",25
"83",151,97,161.8,2017,41.5,-88.5,"Pieris rapae",10
"84",118.3,105,164,2018,41.5,-88.5,"Pieris rapae",22
"85",141.5,89,165,2016,41.5,-87.5,"Pieris rapae",26
"86",167.2,105,188.2,2017,41.5,-87.5,"Pieris rapae",60
"87",184.7,167,196.5,2018,41.5,-87.5,"Pieris rapae",90
"88",115,87,163,2016,39.5,-84.5,"Pieris rapae",91
"89",102.1,92,113.7,2017,39.5,-84.5,"Pieris rapae",118
"90",133.5,101,152,2017,41.5,-83.5,"Pieris rapae",46
"91",127.2,126,131,2014,41.5,-82.5,"Pieris rapae",17
"92",130.8,129,131.9,2015,41.5,-82.5,"Pieris rapae",10
"93",126.8,118,176.3,2016,41.5,-82.5,"Pieris rapae",30
"94",133.7,122.1,181.7,2017,41.5,-82.5,"Pieris rapae",38
"95",164,162,167.6,2015,41.5,-81.5,"Pieris rapae",17
"96",111.6,108,141,2016,41.5,-81.5,"Pieris rapae",13
"97",118.5,9,146.5,2017,41.5,-81.5,"Pieris rapae",46
"98",113.8,91,166,2014,38.5,-77.5,"Pieris rapae",13
"99",219,141,219,2016,38.5,-77.5,"Pieris rapae",21
"100",101.8,80,110,2017,38.5,-77.5,"Pieris rapae",47
"101",204.8,194,216.5,2016,41.5,-93.5,"Epargyreus clarus",10
"102",147,146,148,2018,41.5,-93.5,"Epargyreus clarus",11
"103",183.8,154,212,2018,38.5,-90.5,"Epargyreus clarus",49
"104",181,160,187,2016,41.5,-88.5,"Epargyreus clarus",11
"105",163,146,175,2018,41.5,-88.5,"Epargyreus clarus",31
"106",196,159,207,2014,41.5,-87.5,"Epargyreus clarus",11
"107",154.9,150,173.8,2015,41.5,-87.5,"Epargyreus clarus",18
"108",202.6,191,213,2016,41.5,-87.5,"Epargyreus clarus",23
"109",157,134,157,2017,41.5,-87.5,"Epargyreus clarus",38
"110",174.7,162.1,185,2018,41.5,-87.5,"Epargyreus clarus",58
"111",176.8,163.8,192,2016,39.5,-84.5,"Epargyreus clarus",59
"112",146,124,151,2017,39.5,-84.5,"Epargyreus clarus",59
"113",153.2,139.4,170.8,2017,41.5,-83.5,"Epargyreus clarus",35
"114",191,187,193,2014,41.5,-81.5,"Epargyreus clarus",16
"115",152,145,176.2,2015,41.5,-81.5,"Epargyreus clarus",13
"116",158.2,139.4,177,2016,41.5,-81.5,"Epargyreus clarus",33
"117",175.1,149.3,180,2017,41.5,-81.5,"Epargyreus clarus",42
"118",166,165,166,2014,38.5,-77.5,"Epargyreus clarus",13
"119",130.8,117,206,2016,38.5,-77.5,"Epargyreus clarus",13
"120",113.4,102,132,2017,38.5,-77.5,"Epargyreus clarus",48
"121",127.5,117,141,2015,41.5,-93.5,"Vanessa atalanta",22
"122",126.1,116,133,2016,41.5,-93.5,"Vanessa atalanta",12
"123",101.4,100,107,2017,41.5,-93.5,"Vanessa atalanta",15
"124",146.9,146,147.9,2018,41.5,-93.5,"Vanessa atalanta",10
"125",99,97,99.8,2017,41.5,-88.5,"Vanessa atalanta",19
"126",137.7,127,164,2018,41.5,-88.5,"Vanessa atalanta",22
"127",138.4,116,167,2015,41.5,-87.5,"Vanessa atalanta",22
"128",123,107,125.8,2016,41.5,-87.5,"Vanessa atalanta",28
"129",105,91,104,2017,41.5,-87.5,"Vanessa atalanta",81
"130",163.1,117,167.4,2018,41.5,-87.5,"Vanessa atalanta",82
"131",172,164,177,2015,39.5,-84.5,"Vanessa atalanta",11
"132",87,86,97.8,2016,39.5,-84.5,"Vanessa atalanta",27
"133",97,92,98,2017,39.5,-84.5,"Vanessa atalanta",56
"134",99,98,130,2017,40.5,-83.5,"Vanessa atalanta",11
"135",106,98,130,2017,41.5,-83.5,"Vanessa atalanta",21
"136",136.5,132,151.4,2015,41.5,-81.5,"Vanessa atalanta",20
"137",116.4,111,122.8,2016,41.5,-81.5,"Vanessa atalanta",13
"138",103.5,98,119.9,2017,41.5,-81.5,"Vanessa atalanta",20
"139",171.8,134,180,2015,38.5,-77.5,"Vanessa atalanta",13
"140",211.9,211,218.3,2015,41.5,-93.5,"Junonia coenia",10
"141",189.5,159,210,2016,41.5,-93.5,"Junonia coenia",22
"142",161.4,155,188,2017,41.5,-93.5,"Junonia coenia",18
"143",192.2,145,212,2017,38.5,-90.5,"Junonia coenia",25
"144",213.9,188,229.4,2018,38.5,-90.5,"Junonia coenia",56
"145",199.8,172,219,2016,41.5,-87.5,"Junonia coenia",57
"146",180.4,171,189,2017,41.5,-87.5,"Junonia coenia",59
"147",200.1,181,209.3,2018,41.5,-87.5,"Junonia coenia",47
"148",228.1,213,247,2016,39.5,-84.5,"Junonia coenia",38
"149",189,168,200.6,2017,39.5,-84.5,"Junonia coenia",49
"150",216.8,175,246,2017,41.5,-81.5,"Junonia coenia",24
"151",236.2,141,248.4,2016,38.5,-77.5,"Junonia coenia",33
"152",199.4,128,215.6,2017,38.5,-77.5,"Junonia coenia",40
"153",161,141,171,2015,41.5,-93.5,"Colias eurytheme",61
"154",146,127,155,2016,41.5,-93.5,"Colias eurytheme",71
"155",184.4,162,199.4,2017,41.5,-93.5,"Colias eurytheme",27
"156",159.5,146.3,186.1,2018,41.5,-93.5,"Colias eurytheme",34
"157",170.6,148.1,183.9,2016,39.5,-84.5,"Colias eurytheme",82
"158",133,114,146,2017,39.5,-84.5,"Colias eurytheme",81
"159",154.5,130,198.5,2017,41.5,-83.5,"Colias eurytheme",16
"160",239,201,247,2016,41.5,-81.5,"Colias eurytheme",11
"161",250,243,250,2017,41.5,-81.5,"Colias eurytheme",23
"162",197.1,108,224.1,2016,38.5,-77.5,"Colias eurytheme",10
"163",103,84,108,2017,38.5,-77.5,"Colias eurytheme",21
"164",160.1,141,204,2018,38.5,-90.5,"Papilio polyxenes",47
"165",185.6,185,188,2018,41.5,-88.5,"Papilio polyxenes",18
"166",220.2,191,236,2016,41.5,-87.5,"Papilio polyxenes",13
"167",179.4,126,190.7,2017,41.5,-87.5,"Papilio polyxenes",23
"168",167.2,128,183,2018,41.5,-87.5,"Papilio polyxenes",92
"169",170.7,114.1,192.5,2016,39.5,-84.5,"Papilio polyxenes",52
"170",113.9,105,118.7,2017,39.5,-84.5,"Papilio polyxenes",64
"171",200.8,200,213.6,2015,41.5,-81.5,"Papilio polyxenes",11
"172",140.8,133,186.8,2016,41.5,-81.5,"Papilio polyxenes",13
"173",152.1,120,183,2017,41.5,-81.5,"Papilio polyxenes",18
"174",77,77,193,2018,41.5,-88.5,"Polygonia comma",11
"175",80.5,48,88.5,2017,41.5,-87.5,"Polygonia comma",16
"176",110.9,56,165,2018,41.5,-87.5,"Polygonia comma",24
"177",78,68,86,2016,39.5,-84.5,"Polygonia comma",21
"178",69,48,87.5,2017,39.5,-84.5,"Polygonia comma",37
"179",99,98,99.5,2017,41.5,-83.5,"Polygonia comma",16
"180",113.3,100,164,2015,41.5,-81.5,"Polygonia comma",14
"181",87,87,108,2016,41.5,-81.5,"Polygonia comma",10
"182",103.5,99,118.4,2017,41.5,-81.5,"Polygonia comma",10
"183",167.4,163,174.4,2018,41.5,-87.5,"Speyeria cybele",15
"184",169.4,158,171.8,2016,39.5,-84.5,"Speyeria cybele",20
"185",161.2,154,168,2017,39.5,-84.5,"Speyeria cybele",23
"186",168.5,166,172.5,2017,41.5,-83.5,"Speyeria cybele",16
"187",182.6,166,185.2,2015,41.5,-81.5,"Speyeria cybele",13
"188",177,176,179.4,2016,41.5,-81.5,"Speyeria cybele",17
"189",177.9,167,183,2017,41.5,-81.5,"Speyeria cybele",20
"190",157.4,157,161.4,2015,38.5,-77.5,"Speyeria cybele",12
"191",158,157,159,2016,38.5,-77.5,"Speyeria cybele",11
"192",204.9,198,218,2018,41.5,-88.5,"Limenitis archippus",13
"193",204.3,189,207,2017,41.5,-87.5,"Limenitis archippus",10
"194",194,174,209,2018,41.5,-87.5,"Limenitis archippus",37
"195",152.1,142.5,168.1,2017,41.5,-83.5,"Limenitis archippus",32
"196",205,153,205.4,2014,41.5,-81.5,"Limenitis archippus",15
"197",164,141,175.1,2015,41.5,-81.5,"Limenitis archippus",24
"198",207.5,155,216,2016,41.5,-81.5,"Limenitis archippus",30
"199",192,150,196.2,2017,41.5,-81.5,"Limenitis archippus",48
"200",122,119,127,2016,39.5,-84.5,"Poanes zabulon",11
"201",135.2,133,149.4,2017,39.5,-84.5,"Poanes zabulon",35
"202",155.1,129,208,2016,41.5,-81.5,"Poanes zabulon",12
"203",208.3,153,209.3,2017,41.5,-81.5,"Poanes zabulon",34
"204",156.6,139,166,2014,38.5,-77.5,"Poanes zabulon",18
"205",146.6,134,162.8,2015,38.5,-77.5,"Poanes zabulon",13
"206",140.5,128,142,2016,38.5,-77.5,"Poanes zabulon",16
"207",138,118.6,140,2017,38.5,-77.5,"Poanes zabulon",44
"208",198,156,218,2016,41.5,-87.5,"Ancyloxypha numitor",11
"209",158.4,157,171.7,2017,41.5,-87.5,"Ancyloxypha numitor",12
"210",180.8,179,187.3,2018,41.5,-87.5,"Ancyloxypha numitor",10
"211",149.2,141,163.6,2016,39.5,-84.5,"Ancyloxypha numitor",17
"212",146,136.1,152,2017,39.5,-84.5,"Ancyloxypha numitor",48
"213",161.7,150,167.4,2017,41.5,-81.5,"Ancyloxypha numitor",18
"214",147,135,155,2017,38.5,-77.5,"Ancyloxypha numitor",11
"215",156.6,153,157,2017,41.5,-87.5,"Megisto cymela",10
"216",157,157,163.2,2016,39.5,-84.5,"Megisto cymela",13
"217",146,141,146,2017,39.5,-84.5,"Megisto cymela",28
"218",147.3,147,150.3,2017,41.5,-83.5,"Megisto cymela",12
"219",141,141,154,2015,41.5,-81.5,"Megisto cymela",11
"220",149.6,148,153,2016,41.5,-81.5,"Megisto cymela",13
"221",144.4,139,147.6,2017,41.5,-81.5,"Megisto cymela",27
"222",148.9,146,152.6,2018,41.5,-88.5,"Polites peckius",14
"223",162.5,157,204,2017,41.5,-87.5,"Polites peckius",36
"224",164,148,206,2016,39.5,-84.5,"Polites peckius",41
"225",148,136,155,2017,39.5,-84.5,"Polites peckius",52
"226",170.3,154,220,2016,41.5,-81.5,"Polites peckius",12
"227",209,163,211,2017,41.5,-81.5,"Polites peckius",28
"228",190,190,199.3,2014,38.5,-77.5,"Polites peckius",10
"229",185.2,160,188,2018,41.5,-88.5,"Polygonia interrogationis",10
"230",167,146,171.9,2015,41.5,-87.5,"Polygonia interrogationis",18
"231",114.6,105,134.4,2017,41.5,-87.5,"Polygonia interrogationis",25
"232",168.4,128,179.5,2018,41.5,-87.5,"Polygonia interrogationis",38
"233",103.2,87,156.3,2016,39.5,-84.5,"Polygonia interrogationis",10
"234",98.8,92,118.4,2017,39.5,-84.5,"Polygonia interrogationis",36
"235",172,152,177,2017,41.5,-81.5,"Polygonia interrogationis",16
"236",193.2,186,219,2016,41.5,-87.5,"Erynnis baptisiae",15
"237",196,183,199,2017,41.5,-87.5,"Erynnis baptisiae",24
"238",135.9,128,223,2018,41.5,-87.5,"Erynnis baptisiae",12
"239",211,183,211,2016,39.5,-84.5,"Erynnis baptisiae",11
"240",169.8,167,176.2,2017,39.5,-84.5,"Erynnis baptisiae",23
"241",179.6,123,192,2017,41.5,-81.5,"Erynnis baptisiae",17
"242",157.9,157,193.1,2016,41.5,-88.5,"Limenitis arthemis astyanax",10
"243",199,152,219,2016,41.5,-87.5,"Limenitis arthemis astyanax",11
"244",167.5,161,188,2017,41.5,-87.5,"Limenitis arthemis astyanax",16
"245",195.3,166,207,2018,41.5,-87.5,"Limenitis arthemis astyanax",20
"246",227,221,228.2,2016,39.5,-84.5,"Limenitis arthemis astyanax",12
"247",190,186,194,2017,39.5,-84.5,"Limenitis arthemis astyanax",11
"248",165,134,167,2015,41.5,-87.5,"Vanessa virginiensis",11
"249",115.8,94,160,2016,41.5,-87.5,"Vanessa virginiensis",13
"250",104.3,99,105.6,2017,41.5,-87.5,"Vanessa virginiensis",34
"251",105.8,94,116.5,2016,39.5,-84.5,"Vanessa virginiensis",12
"252",97,92,101.2,2017,39.5,-84.5,"Vanessa virginiensis",18
"253",104,99,141,2017,38.5,-77.5,"Vanessa virginiensis",11
"254",188.8,129.4,214.8,2017,41.5,-93.5,"Vanessa cardui",35
"255",164,110.2,175,2017,41.5,-87.5,"Vanessa cardui",62
"256",159.4,151,198,2017,39.5,-84.5,"Vanessa cardui",63
"257",193.6,152,218.6,2017,41.5,-83.5,"Vanessa cardui",17
"258",217.6,167,244,2017,41.5,-81.5,"Vanessa cardui",45
"259",148.3,123,170,2015,41.5,-93.5,"Colias philodice",62
"260",148.5,126.3,169.8,2016,41.5,-93.5,"Colias philodice",54
"261",113.1,107,128.3,2017,41.5,-93.5,"Colias philodice",18
"262",149,129.4,169.4,2018,41.5,-93.5,"Colias philodice",33
"263",190.9,183,192,2016,39.5,-84.5,"Cercyonis pegala",20
"264",182,179,184,2017,39.5,-84.5,"Cercyonis pegala",23
"265",186.6,183,187,2017,41.5,-81.5,"Cercyonis pegala",10
"266",166,165,166,2014,38.5,-77.5,"Cupido comyntas",13
"267",114.5,104,141,2016,38.5,-77.5,"Cupido comyntas",26
"268",105,93.7,108,2017,38.5,-77.5,"Cupido comyntas",44
"269",146,141,146.8,2018,38.5,-90.5,"Papilio troilus",22
"270",147.4,116,204.2,2016,38.5,-77.5,"Papilio troilus",13
"271",109.2,100.3,121.8,2017,38.5,-77.5,"Papilio troilus",32
"272",190.2,165,193,2014,38.5,-77.5,"Atalopedes campestris",10
"273",189,140.4154148,189,2017,38.5,-77.5,"Atalopedes campestris",102
"274",230,192,230,2016,38.5,-77.5,"Euptoieta claudia",33
"275",137.1,104,184,2017,38.5,-77.5,"Euptoieta claudia",21
"276",101.9,76,115,2016,38.5,-77.5,"Eurytides marcellus",12
"277",101.5,93,106.5,2017,38.5,-77.5,"Eurytides marcellus",26
"278",173.2,148,219,2016,39.5,-84.5,"Polites themistocles",24
"279",148.8,141,159.4,2017,39.5,-84.5,"Polites themistocles",29
"280",196.2,120,242.4,2016,39.5,-84.5,"Pyrgus communis",38
"281",130.9,119,137.3,2017,39.5,-84.5,"Pyrgus communis",34
"282",159.6,141,172.6,2018,38.5,-90.5,"Asterocampa celtis",19
"283",176.7,129,230.7,2017,38.5,-77.5,"Lerema accius",10
"284",157.4,148,168,2017,39.5,-84.5,"Nastra lherminier",18
"285",99.3,79,167.5,2015,41.5,-87.5,"Nymphalis antiopa",12
"286",204.3,198,209.9,2018,41.5,-87.5,"Papilio cresphontes",15
